volatileacidity,citricacid,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,sulphates,alcohol
0.19,0.32,18.8,0.047,32,193,1.0,0.5,9.3
0.24,0.12,1.4,0.035,60,247,0.9940000000000001,0.44,9.6
0.23,0.41,1.1,0.048,35,150,0.992,0.47,11.2
0.33,0.44,8.9,0.055,52,164,0.995,0.48,9.6
0.32,0.37,3.4,0.023,19,87,0.99,0.53,12.7
0.27,0.52,3.2,0.043,28,152,0.991,0.53,11.4
0.21,0.28,2.4,0.055999999999999994,49,159,0.9940000000000001,0.47,8.8
0.24,0.29,1.1,0.046,34,84,0.99,0.39,11.5
0.25,0.29,5.3,0.031,33,117,0.992,0.32,11.8
0.3,0.27,4.0,0.038,37,97,0.99,0.6,12.6
0.25,0.49,9.0,0.044000000000000004,31,185,0.998,0.49,10.0
0.3,0.25,2.5,0.045,32,122,0.993,0.54,10.3
0.27,0.22,4.6,0.022000000000000002,29,107,0.9890000000000001,0.54,13.8
0.2,0.27,10.9,0.038,29,130,0.995,0.44,10.5
0.21,0.28,4.6,0.053,40,199,0.996,0.7,10.0
0.21,0.28,8.6,0.045,37,221,0.995,0.54,10.4
0.76,0.01,3.2,0.040999999999999995,18,120,0.99,0.94,13.7
0.2,0.28,10.2,0.054000000000000006,78,186,0.997,0.46,10.0
0.2,0.15,6.6,0.046,26,113,0.9940000000000001,0.58,9.9
0.24,0.29,14.9,0.053,55,136,0.998,0.52,9.0
0.17,0.37,5.7,0.025,29,111,0.9940000000000001,0.49,10.8
0.38,0.42,2.5,0.038,34,117,0.991,0.59,11.6
0.39,0.22,4.3,0.03,10,102,0.993,0.87,11.6
0.23,0.37,8.5,0.036000000000000004,46,153,0.996,0.48,9.4
0.2,0.24,1.8,0.03,30,105,0.991,0.47,11.5
0.25,0.27,17.4,0.064,29,140,0.998,0.49,10.1
0.23,0.25,8.0,0.043,31,101,0.9940000000000001,0.42,10.4
0.17,0.5,2.1,0.043,27,122,0.992,0.45,10.3
0.26,0.29,1.0,0.032,27,96,0.99,0.44,12.3
0.2,0.61,16.2,0.043,14,103,0.9990000000000001,0.36,9.2
0.26,0.42,7.1,0.045,62,209,0.995,0.53,9.5
0.57,0.29,2.2,0.04,15,77,0.9940000000000001,0.74,10.2
1.1,0.16,4.4,0.033,8,109,0.991,0.47,12.4
0.21,0.49,1.4,0.052000000000000005,6,48,0.991,0.28,11.4
0.25,0.36,13.1,0.05,35,200,0.9990000000000001,0.46,8.9
0.27,0.25,8.0,0.053,54,202,0.996,0.43,9.3
0.25,0.29,6.8,0.02,31,113,0.993,0.29,10.8
0.25,0.36,13.2,0.067,53,178,0.998,0.48,9.0
0.26,0.3,2.6,0.034,75,129,0.99,0.38,11.5
0.19,0.33,4.9,0.047,42,130,0.993,0.56,11.0
0.52,0.33,7.7,0.046,24,119,0.992,0.38,11.0
0.29,0.67,8.1,0.037000000000000005,53,166,0.997,0.41,8.9
0.22,0.27,1.6,0.039,36,116,0.992,0.57,11.0
0.22,0.42,14.6,0.044000000000000004,45,163,1.0,0.69,8.6
0.26,0.26,12.7,0.036000000000000004,49,214,0.9990000000000001,0.5,10.0
0.3,0.22,5.3,0.053,33,180,0.993,0.45,11.6
0.2,0.38,4.7,0.04,27,103,0.9940000000000001,0.58,10.7
0.33,0.18,6.3,0.094,27,166,0.995,0.49,9.5
0.18,0.38,6.5,0.039,20,110,0.9940000000000001,0.42,10.5
0.29,0.4,6.5,0.039,43,167,0.995,0.44,9.3
0.23,0.36,16.3,0.038,43,133,0.9990000000000001,0.41,8.8
0.46,0.27,5.2,0.039,35,96,0.991,0.44,12.4
0.33,0.32,7.8,0.052000000000000005,52,183,0.997,0.65,9.5
0.26,0.56,15.4,0.053,32,141,0.998,0.49,9.3
0.36,0.5,8.3,0.053,51,202,0.996,0.51,9.6
0.3,0.36,6.8,0.055,45,234,0.997,0.64,10.2
0.23,0.37,7.9,0.05,60,150,0.995,0.49,9.3
0.35,0.55,12.0,0.038,22,111,0.997,0.29,9.7
0.22,0.26,1.2,0.035,18,97,0.992,0.41,9.7
0.36,0.16,6.3,0.036000000000000004,36,191,0.9940000000000001,0.62,9.8
0.34,0.36,1.4,0.045,11,119,0.996,0.47,9.4
0.33,0.24,9.8,0.040999999999999995,29,109,0.996,0.47,10.1
0.21,0.44,7.4,0.045,47,182,0.996,0.46,9.1
0.21,0.36,15.7,0.045,68,183,0.9990000000000001,0.76,9.4
0.27,0.35,1.2,0.05,36,140,0.991,0.45,11.2
0.54,0.27,7.1,0.049,8,178,0.995,0.38,9.4
0.14,0.2,1.6,0.04,26,114,0.991,0.45,11.4
0.36,0.16,1.3,0.054000000000000006,11,107,0.9940000000000001,0.39,8.5
0.11,0.29,1.1,0.035,44,140,0.991,0.55,10.7
0.41,0.22,4.8,0.052000000000000005,49,142,0.995,0.62,9.2
0.24,0.49,7.4,0.039,46,108,0.993,0.33,11.9
0.28,0.49,1.0,0.04,32,148,0.9940000000000001,0.41,10.0
0.18,0.21,5.4,0.053,34,104,0.9940000000000001,0.43,9.4
0.24,0.28,12.2,0.049,54,133,0.995,0.37,10.7
0.53,0.24,0.8,0.028999999999999998,29,86,0.993,0.32,9.1
0.27,0.29,3.9,0.059000000000000004,28,199,0.996,0.59,10.3
0.19,0.21,1.0,0.033,89,159,0.993,0.42,8.0
0.28,0.32,9.0,0.036000000000000004,34,115,0.995,0.39,10.3
0.24,0.4,17.9,0.049,50,185,1.0,0.42,9.6
0.2,0.31,10.0,0.054000000000000006,49,165,0.997,0.42,9.9
0.43,0.27,1.1,0.054000000000000006,5,110,0.9940000000000001,0.52,9.1
0.3,0.25,8.0,0.036000000000000004,21,124,0.9940000000000001,0.38,10.8
0.23,0.36,16.3,0.038,43,133,0.9990000000000001,0.41,8.8
0.26,0.33,10.3,0.039,73,212,0.997,0.49,9.5
0.27,0.49,1.1,0.037000000000000005,33,156,0.992,0.54,11.1
0.23,0.32,16.4,0.045,62,153,0.997,0.42,10.5
0.29,0.28,3.2,0.035,16,117,0.99,0.42,12.6
0.2,0.23,1.5,0.037000000000000005,38,93,0.99,0.49,12.0
0.17,0.29,2.4,0.028999999999999998,52,119,0.9890000000000001,0.33,12.9
0.27,0.44,6.7,0.040999999999999995,61,230,0.995,0.4,8.9
0.2,0.31,3.6,0.036000000000000004,22,91,0.993,0.5,9.8
0.31,0.38,1.4,0.047,30,95,0.992,0.52,11.5
0.19,0.49,1.6,0.047,42,140,0.993,0.47,10.7
0.28,0.54,16.7,0.045,54,200,0.9990000000000001,0.49,9.5
0.34,0.2,1.7,0.033,17,74,0.99,0.48,12.3
0.28,0.78,12.1,0.040999999999999995,53,161,0.998,0.44,8.7
0.28,0.36,1.3,0.053,28,186,0.992,0.45,10.8
0.13,0.25,3.3,0.04,10,69,0.993,0.59,10.1
0.2,0.24,6.5,0.044000000000000004,28,100,0.993,0.33,10.2
0.17,0.33,6.0,0.036000000000000004,30,111,0.9940000000000001,0.58,10.2
0.22,0.38,1.3,0.046,24,90,0.992,0.47,10.0
0.26,0.2,8.0,0.047,35,111,0.9940000000000001,0.42,10.4
0.22,0.31,13.9,0.04,57,135,0.997,0.38,10.7
0.32,0.27,4.9,0.034,18,122,0.992,0.71,12.5
0.27,0.33,2.0,0.059000000000000004,19,175,0.9940000000000001,0.56,9.9
0.3,0.24,6.6,0.12300000000000001,35,116,0.995,0.48,9.4
0.34,0.29,7.6,0.047,45,232,0.996,0.62,10.0
0.23,0.28,9.7,0.025,26,121,0.993,0.38,11.3
0.35,0.46,11.8,0.08800000000000001,61,183,0.998,0.47,9.0
0.29,0.54,5.7,0.035,54,155,0.99,0.34,12.9
0.3,0.29,2.3,0.037000000000000005,8,210,0.9940000000000001,0.62,9.9
0.34,0.39,7.6,0.04,45,215,0.997,0.53,9.2
0.54,0.23,2.0,0.028999999999999998,13,151,0.993,0.33,10.4
0.35,0.2,18.1,0.069,33,158,0.9990000000000001,0.5,8.8
0.55,0.01,2.7,0.034,56,122,0.991,0.3,11.9
0.27,0.12,1.3,0.04,87,168,0.992,0.41,10.0
0.15,0.44,12.6,0.052000000000000005,65,158,0.997,0.7,10.3
0.15,0.35,4.3,0.051,23,98,0.9940000000000001,0.44,9.5
0.27,0.39,7.8,0.039,49,208,0.998,0.51,9.5
0.25,0.27,6.6,0.054000000000000006,40,158,0.9940000000000001,0.48,10.3
0.2,0.19,12.3,0.048,54,145,0.997,0.42,9.3
0.28,0.27,10.3,0.03,26,108,0.9940000000000001,0.36,10.7
0.48,0.04,1.1,0.046,30,99,0.993,0.36,9.6
0.33,0.14,4.8,0.052000000000000005,27,128,0.995,0.48,9.4
0.3,0.44,12.4,0.043,52,154,0.995,0.33,12.0
0.16,0.33,1.0,0.027000000000000003,23,75,0.991,0.39,11.4
0.25,0.31,1.4,0.061,31,218,0.9940000000000001,0.53,9.5
0.29,0.32,3.6,0.026000000000000002,39,138,0.9890000000000001,0.37,13.1
0.25,0.27,9.7,0.036000000000000004,15,85,0.9940000000000001,0.36,11.2
0.3,0.51,13.6,0.05,40,168,0.998,0.52,9.6
0.5,0.22,1.8,0.046,31,140,0.993,0.54,10.4
0.22,0.49,7.0,0.063,50,168,0.996,0.5,10.3
0.3,0.3,1.2,0.028999999999999998,25,93,0.987,0.4,13.6
0.21,0.3,8.7,0.036000000000000004,47,127,0.9940000000000001,0.39,10.6
0.35,1.0,18.2,0.047,55,205,1.0,0.43,9.6
0.27,0.19,6.6,0.045,98,175,0.9940000000000001,0.34,10.1
0.32,0.27,10.9,0.040999999999999995,37,146,0.996,0.47,10.0
0.2,0.37,17.0,0.048,43,190,1.0,0.42,9.2
0.13,0.25,1.1,0.033,15,86,0.99,0.39,11.2
0.22,0.26,2.8,0.036000000000000004,44,132,0.991,0.41,12.0
0.24,0.49,9.4,0.048,50,149,0.996,0.59,10.5
0.33,0.32,4.6,0.040999999999999995,31,180,0.992,0.74,12.2
0.3,0.33,2.1,0.042,31,127,0.99,0.42,12.5
0.36,0.59,13.6,0.051,60,134,0.9990000000000001,0.39,8.7
0.27,0.43,7.5,0.049,65,243,0.996,0.47,9.0
0.22,0.29,4.2,0.037000000000000005,69,144,0.992,0.74,10.8
0.24,0.5,11.6,0.047,60,211,0.997,0.57,9.3
0.34,0.3,14.9,0.037000000000000005,70,169,0.997,0.37,10.4
0.32,0.26,1.2,0.05,12,88,0.995,0.37,9.5
0.26,0.29,5.8,0.025,26,74,0.993,0.53,11.0
0.2,0.27,10.9,0.038,29,130,0.995,0.44,10.5
0.25,0.36,13.2,0.067,53,178,0.998,0.48,9.0
0.37,0.4,11.6,0.032,34,214,0.996,0.51,9.8
0.24,0.39,3.6,0.024,35,116,0.993,0.51,10.9
0.2,0.31,1.4,0.047,41,142,0.993,0.53,10.1
0.26,0.33,8.1,0.024,47,202,0.996,0.46,10.8
0.17,0.38,1.8,0.04,39,148,0.9940000000000001,0.67,10.2
0.39,0.31,2.7,0.054000000000000006,27,202,0.995,0.57,10.5
0.16,0.29,10.4,0.046,59,143,0.995,0.4,10.8
0.12,0.3,5.2,0.048,38,113,0.9940000000000001,0.44,10.1
0.32,0.45,2.9,0.028999999999999998,37,94,0.99,0.6,12.4
0.23,0.32,1.3,0.048,59,113,0.992,0.55,11.0
0.37,0.37,1.5,0.024,12,76,0.9890000000000001,0.39,12.3
0.2,0.36,11.6,0.042,45,124,0.997,0.59,9.5
0.2,0.31,1.6,0.038,34,116,0.991,0.39,12.0
0.51,0.36,6.2,0.051,30,173,0.998,0.53,9.7
0.21,0.16,12.6,0.051,31,115,0.996,0.38,10.8
0.25,0.37,6.9,0.02,14,93,0.9940000000000001,0.48,10.7
0.2,0.49,3.5,0.057,14,108,0.993,0.35,11.5
0.23,0.39,2.3,0.033,29,102,0.991,0.54,12.3
0.34,0.19,5.8,0.040999999999999995,22,145,0.9940000000000001,0.63,9.9
0.21,0.4,1.6,0.032,35,110,0.991,0.6,12.9
0.79,0.0,3.4,0.036000000000000004,23,134,0.99,0.92,13.8
0.2,0.28,0.9,0.023,49,87,0.991,0.36,11.1
0.21,0.24,2.3,0.047,60,189,0.995,0.72,10.1
0.31,0.3,0.9,0.037000000000000005,28,152,0.992,0.56,10.1
0.32,0.58,16.8,0.05,43,163,1.0,0.54,9.2
0.23,0.39,13.7,0.057999999999999996,26,172,0.998,0.46,9.0
0.23,0.32,13.4,0.044000000000000004,35,169,1.0,0.47,8.8
0.23,0.24,3.8,0.038,61,152,0.991,0.5,11.3
0.3,0.74,5.0,0.038,35,157,0.995,0.46,9.9
0.22,0.49,0.9,0.052000000000000005,26,128,0.991,0.35,11.4
0.25,0.34,1.3,0.035,27,82,0.99,0.44,12.2
0.27,0.27,10.4,0.040999999999999995,26,114,0.993,0.52,11.5
0.28,0.4,6.9,0.05,30,97,0.995,0.44,10.1
0.66,0.0,5.6,0.033,8,31,0.9940000000000001,0.51,10.5
0.45,0.27,4.7,0.035,17,80,0.991,0.36,12.5
0.32,0.3,1.9,0.033,41,142,0.9890000000000001,0.42,12.8
0.5,0.27,5.0,0.157,17,129,0.9940000000000001,0.36,9.3
0.19,0.24,6.3,0.054000000000000006,34,231,0.996,0.54,10.0
0.27,0.28,0.8,0.024,29,128,0.99,0.35,12.4
0.4,0.17,12.9,0.033,59,186,0.998,0.49,9.4
0.33,0.2,1.8,0.031,49,159,0.992,0.53,11.0
0.32,0.25,7.2,0.055999999999999994,47,180,0.996,0.47,8.8
0.29,0.5,13.3,0.053,48,194,0.997,0.45,9.4
0.27,0.37,9.7,0.042,36,130,0.998,0.75,9.9
0.3,0.3,2.3,0.038,8,210,0.9940000000000001,0.62,9.9
0.36,0.14,11.6,0.043,35,228,0.998,0.51,8.9
0.28,0.3,12.9,0.033,31,177,0.995,0.39,11.2
0.4,0.22,8.8,0.052000000000000005,24,113,0.996,0.45,9.4
0.17,0.31,1.0,0.024,13,91,0.993,0.37,10.1
0.41,0.24,5.4,0.035,33,115,0.99,0.44,12.9
0.37,0.12,5.9,0.055999999999999994,6,91,0.995,0.46,8.4
0.24,0.3,4.2,0.04,41,213,0.993,0.49,11.8
0.18,0.31,6.5,0.028999999999999998,53,160,0.993,0.38,10.9
0.21,0.38,1.5,0.039,37,122,0.99,0.43,12.0
0.3,0.21,1.1,0.032,31,111,0.9890000000000001,0.42,12.2
0.27,0.4,1.2,0.076,47,130,0.992,0.45,10.3
0.27,0.49,3.8,0.037000000000000005,46,139,0.991,0.38,11.6
0.21,0.38,6.8,0.036000000000000004,64,245,0.995,0.36,9.3
0.5,0.2,2.4,0.059000000000000004,19,112,0.993,0.4,9.2
0.4,0.24,8.5,0.055,45,151,0.996,0.52,9.2
0.28,0.35,1.6,0.054000000000000006,31,148,0.992,0.47,10.7
0.32,0.2,2.6,0.027000000000000003,17,123,0.9890000000000001,0.78,13.9
0.16,0.34,1.7,0.038,85,153,0.991,0.86,12.0
0.25,0.27,9.1,0.039,37,128,0.9940000000000001,0.34,11.3
0.24,0.37,1.8,0.031,6,61,0.99,0.34,12.2
0.28,0.27,2.6,0.054000000000000006,30,156,0.991,0.42,12.4
0.22,0.28,9.0,0.046,22,121,0.995,0.55,10.8
0.15,0.29,6.2,0.046,39,151,0.995,0.44,10.6
0.23,0.24,1.6,0.037000000000000005,32,115,0.991,0.51,11.4
0.27,0.46,11.8,0.037000000000000005,61,212,0.997,0.53,9.5
0.2,0.5,18.1,0.054000000000000006,50,221,0.9990000000000001,0.64,8.8
0.16,0.25,14.3,0.044000000000000004,27,149,0.998,0.46,9.2
0.24,0.4,15.4,0.052000000000000005,81,198,0.9990000000000001,0.69,9.4
0.2,0.37,1.7,0.025,42,103,0.99,0.45,11.4
0.36,0.28,2.4,0.036000000000000004,35,115,0.9890000000000001,0.44,13.5
0.29,0.49,7.1,0.042,22,124,0.9940000000000001,0.41,10.8
0.33,0.28,6.1,0.018000000000000002,41,103,0.991,0.32,12.2
0.24,0.27,15.8,0.035,46,188,0.998,0.51,9.2
0.26,0.49,3.2,0.027000000000000003,28,87,0.992,0.32,11.3
0.09,0.33,1.4,0.036000000000000004,17,109,0.993,0.61,9.5
0.25,0.38,7.9,0.045,54,208,0.996,0.46,9.1
0.23,0.37,1.3,0.042,39,117,0.993,0.36,10.0
0.28,0.22,1.8,0.034,32,116,0.99,0.44,12.6
0.2,0.3,6.1,0.037000000000000005,31,120,0.9940000000000001,0.51,10.8
0.31,0.48,14.2,0.042,62,204,0.998,0.59,9.4
0.3,0.49,8.2,0.055,49,188,0.997,0.58,9.7
0.22,0.49,1.0,0.045,34,140,0.99,0.34,12.7
0.23,0.39,1.8,0.032,23,118,0.991,0.5,11.8
0.32,0.12,4.8,0.054000000000000006,6,97,0.9940000000000001,0.5,9.3
0.14,0.44,1.6,0.042,47,140,0.993,0.51,10.2
0.45,0.34,19.8,0.04,12,67,0.998,0.38,11.0
0.29,0.67,8.1,0.037000000000000005,53,166,0.997,0.41,8.9
0.22,0.28,18.8,0.027999999999999997,55,130,0.998,0.35,11.6
0.32,0.34,5.7,0.044000000000000004,27,91,0.992,0.6,12.0
0.24,0.26,8.2,0.054000000000000006,47,182,0.995,0.5,9.5
0.32,0.12,11.5,0.033,35,165,0.997,0.32,9.0
0.27,0.48,6.1,0.042,60,184,0.996,0.5,9.4
0.3,0.22,10.2,0.049,57,191,0.997,0.4,9.3
0.16,0.36,2.6,0.028999999999999998,28,98,0.991,0.37,11.2
0.37,0.32,1.6,0.028999999999999998,41,102,0.9890000000000001,0.55,12.7
0.14,0.28,7.9,0.057,21,82,0.9940000000000001,0.36,10.0
0.6,0.14,5.2,0.057999999999999996,15,97,0.995,0.36,9.0
0.19,0.99,1.2,0.122,45,129,0.9940000000000001,0.31,8.7
0.61,0.38,12.1,0.301,24,220,0.9990000000000001,0.48,9.2
0.19,0.27,13.9,0.057,45,155,0.998,0.41,8.8
0.25,0.48,10.0,0.044000000000000004,78,240,0.997,0.47,9.5
0.2,0.38,3.5,0.053,41,174,0.993,0.41,11.6
0.24,0.32,10.3,0.079,37,122,0.997,0.45,8.8
0.28,0.35,15.3,0.055999999999999994,31,117,1.0,0.5,9.6
0.22,0.28,7.8,0.05,43,116,0.993,0.6,11.5
0.22,0.2,20.8,0.035,58,184,1.0,0.53,9.0
0.24,0.29,6.8,0.038,54,127,0.993,0.46,11.6
0.2,0.37,1.5,0.049,28,129,0.992,0.52,10.8
0.3,0.74,13.5,0.039,46,165,0.998,0.4,8.7
0.32,0.34,6.0,0.05,5,129,0.995,0.4,9.1
0.4,0.3,5.3,0.038,20,125,0.992,0.73,12.6
0.27,0.34,1.8,0.027999999999999997,26,168,0.991,0.48,12.1
0.18,0.49,1.8,0.061,10,145,0.9940000000000001,0.48,10.0
0.29,0.38,1.2,0.028999999999999998,31,132,0.9890000000000001,0.36,12.4
0.29,0.29,5.2,0.035,64,138,0.99,0.34,12.4
0.24,0.22,12.3,0.051,35,146,0.997,0.67,9.4
0.21,0.55,14.6,0.053,34,159,0.998,0.44,9.2
0.43,0.49,13.0,0.033,37,158,0.996,0.35,11.3
0.41,0.37,4.5,0.03,40,114,0.992,0.54,12.4
0.17,0.44,14.1,0.053,43,145,1.001,0.75,8.8
0.19,0.31,14.5,0.045,39,193,0.9990000000000001,0.5,9.2
0.25,0.28,1.5,0.043,19,113,0.993,0.56,10.1
0.31,0.35,1.6,0.063,13,119,0.992,0.5,10.7
0.25,0.3,7.8,0.038,67,196,0.996,0.5,10.1
0.22,0.28,7.2,0.06,41,132,0.9940000000000001,0.59,11.3
0.33,0.31,7.4,0.045,34,143,0.992,0.55,12.2
0.41,0.04,1.3,0.036000000000000004,23,121,0.992,0.61,9.9
0.16,0.22,1.6,0.042,36,106,0.991,0.32,11.4
0.32,0.29,7.6,0.025,35,124,0.992,0.65,12.8
0.29,0.33,8.8,0.035,33,181,0.996,0.46,10.7
0.23,0.39,1.5,0.053,26,106,0.992,0.47,11.1
0.31,0.74,10.7,0.039,51,147,0.998,0.43,8.7
0.21,0.16,12.6,0.051,31,115,0.996,0.38,10.8
0.31,0.22,16.0,0.061,26,141,0.998,0.5,9.1
0.18,0.49,1.1,0.033,28,81,0.992,0.68,10.4
0.31,0.37,6.2,0.052000000000000005,13,164,0.996,0.39,8.8
0.24,0.18,2.3,0.05,22,145,0.992,0.46,10.3
0.25,0.38,7.9,0.045,54,208,0.996,0.46,9.1
0.3,0.33,5.2,0.05,30,137,0.993,0.58,11.1
0.32,0.32,4.8,0.040999999999999995,40,186,0.992,0.54,11.0
0.3,0.37,1.6,0.087,27,177,0.9940000000000001,0.5,9.8
0.22,0.49,6.0,0.028999999999999998,31,128,0.993,0.36,11.3
0.27,0.45,1.3,0.048,8,72,0.9940000000000001,0.61,10.3
0.41,0.31,1.6,0.042,18,101,0.992,0.41,10.5
0.25,0.26,13.1,0.051,44,148,0.997,0.38,9.3
0.22,0.28,4.9,0.042,51,180,0.995,0.75,9.5
0.61,0.45,5.4,0.03,15,118,0.995,0.34,9.6
0.3,0.5,12.1,0.045,38,127,0.997,0.53,8.9
0.39,0.32,3.6,0.035,22,93,0.991,0.6,12.5
0.26,0.49,1.6,0.057999999999999996,39,166,0.997,0.52,9.4
0.16,0.36,5.9,0.054000000000000006,25,148,0.996,0.54,10.2
0.35,0.29,7.3,0.044000000000000004,56,244,0.996,0.55,10.0
0.29,0.18,8.2,0.042,41,180,0.996,0.49,9.1
0.2,0.26,1.1,0.033,38,67,0.99,0.38,11.5
0.25,0.25,1.4,0.03,35,105,0.991,0.44,11.1
0.38,0.4,2.0,0.038,28,152,0.991,0.32,12.9
0.41,0.27,10.7,0.11,20,103,0.997,0.41,9.0
0.16,0.27,1.4,0.044000000000000004,53,168,0.992,0.37,10.1
0.32,0.19,19.4,0.031,28,106,0.997,0.4,10.6
0.29,0.53,1.7,0.04,41,192,0.992,0.59,10.4
0.26,0.46,15.6,0.037000000000000005,61,171,0.9990000000000001,0.35,8.8
0.45,0.26,1.4,0.027000000000000003,23,109,0.991,0.36,10.5
0.65,0.23,5.0,0.035,20,128,0.99,0.48,12.8
0.26,0.57,10.7,0.055999999999999994,66,171,0.995,0.61,10.4
0.36,0.22,5.3,0.038,44,145,0.992,0.4,11.2
0.16,0.32,1.4,0.035,49,186,0.991,0.64,12.4
0.21,0.31,3.8,0.021,40,142,0.992,0.39,10.8
0.42,0.02,0.8,0.038,22,63,0.993,0.36,9.3
0.16,0.44,1.2,0.051,39,122,0.991,0.75,11.3
0.21,0.3,1.4,0.037000000000000005,45,143,0.993,0.33,9.9
0.25,0.32,1.5,0.047,27,132,0.993,0.44,10.5
0.3,0.35,4.6,0.032,32,148,0.995,0.45,11.5
0.22,0.25,12.1,0.035,54,135,0.995,0.4,10.7
0.26,0.31,1.6,0.04,39,173,0.992,0.51,11.4
0.39,0.23,5.4,0.051,25,149,0.993,0.35,10.0
0.36,0.34,14.8,0.057,46,173,0.998,0.57,10.2
0.26,0.24,9.2,0.044000000000000004,55,152,0.996,0.38,9.4
0.26,0.27,10.6,0.03,27,119,0.995,0.34,10.7
0.27,0.25,3.1,0.052000000000000005,41,188,0.992,0.4,11.3
0.29,0.29,1.1,0.032,4,55,0.991,0.32,11.4
0.23,0.38,14.3,0.057999999999999996,55,194,0.998,0.44,9.0
0.43,0.28,4.5,0.046,33,102,0.992,0.56,12.2
0.2,0.31,2.8,0.054000000000000006,16,89,0.9940000000000001,0.45,9.5
0.18,0.39,15.3,0.047,45,158,0.9990000000000001,0.77,9.1
0.11,0.34,8.8,0.043,41,113,0.996,0.4,9.3
0.31,0.61,13.0,0.053,31,123,0.997,0.5,9.3
0.2,0.38,1.0,0.037000000000000005,21,74,0.992,0.37,11.0
0.31,0.08,1.3,0.038,58,147,0.992,0.46,10.0
0.29,0.23,12.4,0.048,33,201,0.996,0.56,9.9
0.36,0.21,1.5,0.049,39,184,0.993,0.41,9.9
0.2,0.49,1.7,0.04,34,169,0.9940000000000001,0.37,10.1
0.25,0.37,4.5,0.039,41,147,0.992,0.4,11.1
0.38,0.28,4.2,0.028999999999999998,7,112,0.991,0.41,12.6
0.18,0.28,0.8,0.032,25,78,0.991,0.38,11.1
0.29,0.28,8.3,0.026000000000000002,27,107,0.993,0.37,11.0
0.24,0.23,7.3,0.069,31,157,0.996,0.53,9.1
0.15,0.29,6.2,0.046,39,151,0.995,0.44,10.6
0.19,0.31,14.5,0.045,39,193,0.9990000000000001,0.5,9.2
0.39,0.81,1.2,0.217,14,74,0.9940000000000001,0.53,9.5
0.31,0.27,8.8,0.021,57,156,0.9940000000000001,0.38,11.0
0.3,0.36,6.8,0.055,45,234,0.997,0.64,10.2
0.27,0.27,1.7,0.034,25,122,0.991,0.51,11.9
0.13,0.22,12.7,0.057999999999999996,24,183,0.996,0.42,11.7
0.24,0.4,1.8,0.047,34,105,0.99,0.49,12.8
0.22,0.35,17.5,0.039,38,153,0.9990000000000001,0.42,9.0
0.29,0.4,19.5,0.043,36,156,1.0,0.47,8.9
0.31,0.49,4.0,0.044000000000000004,27,131,0.991,0.67,12.8
0.32,0.26,8.3,0.053,32,180,0.997,0.51,9.2
0.36,0.16,6.4,0.037000000000000005,36,198,0.9940000000000001,0.62,9.9
0.22,0.28,2.2,0.04,24,125,0.992,0.48,10.5
0.36,0.2,2.0,0.048,48,191,0.993,0.51,9.6
0.26,0.52,13.2,0.047,64,179,0.998,0.46,9.0
0.28,0.29,1.6,0.052000000000000005,34,127,0.993,0.56,10.5
0.49,0.24,1.2,0.049,13,125,0.993,0.51,9.4
0.26,0.29,17.0,0.055999999999999994,48,179,1.0,0.4,9.6
0.16,0.34,2.3,0.045,74,214,0.993,0.61,9.9
0.14,0.3,4.6,0.042,19,101,0.995,0.42,9.3
0.25,0.27,9.7,0.036000000000000004,15,85,0.9940000000000001,0.36,11.2
0.24,0.42,14.0,0.066,48,198,0.998,0.42,8.9
0.37,0.46,12.0,0.042,61,210,0.997,0.59,9.7
0.2,0.4,7.7,0.032,51,176,0.9940000000000001,0.27,11.4
0.27,0.26,16.1,0.049,55,196,0.998,0.5,9.3
0.18,0.36,2.4,0.049,38,123,0.996,0.46,10.3
0.23,0.4,4.2,0.035,17,109,0.995,0.53,9.7
0.23,0.4,5.2,0.066,14,91,0.995,0.8,9.7
0.29,0.49,9.6,0.03,45,197,0.9940000000000001,0.38,12.3
0.23,0.46,1.5,0.03,30,125,0.991,0.47,12.5
0.3,0.71,1.3,0.16,44,149,0.995,0.42,8.9
0.22,0.39,10.2,0.038,60,149,0.997,0.54,10.0
0.22,0.38,14.8,0.054000000000000006,32,126,1.0,0.5,9.7
0.27,0.25,1.2,0.033,36,111,0.9890000000000001,0.37,12.4
0.35,0.35,5.6,0.034,9,148,0.9940000000000001,0.5,9.8
0.18,0.53,1.2,0.040999999999999995,42,167,0.991,0.44,11.9
0.28,0.27,3.9,0.043,52,158,0.992,0.44,10.7
0.29,0.32,14.6,0.063,32,201,0.998,0.45,9.2
0.36,0.62,7.1,0.033,48,185,0.995,0.62,10.6
0.31,0.31,12.9,0.045,55,161,0.995,0.59,10.2
0.24,0.34,1.0,0.036000000000000004,52,184,0.991,0.44,11.5
0.15,0.38,1.8,0.054000000000000006,19,101,0.995,0.44,10.0
0.56,0.15,10.0,0.037000000000000005,38,157,0.996,0.52,9.4
0.36,0.32,1.6,0.039,10,124,0.995,0.67,9.6
0.25,0.5,7.6,0.047,54,184,0.996,0.45,9.2
0.25,0.48,15.8,0.052000000000000005,25,94,0.998,0.45,9.2
0.27,0.52,15.7,0.054000000000000006,36,139,0.998,0.62,10.0
0.27,0.32,1.1,0.031,15,151,0.9940000000000001,0.41,10.6
0.21,0.37,2.4,0.026000000000000002,23,100,0.99,0.38,11.4
0.31,0.07,1.5,0.033,55,144,0.992,0.42,10.0
